Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,145Mhz-1,145.5,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-1,,,,
2,145Mhz-2,145.5025,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-2,,,,
3,145Mhz-3,145.505,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-3,,,,
4,145Mhz-4,145.5075,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-4,,,,
5,145Mhz-5,145.51,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-5,,,,
6,145Mhz-6,145.5125,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-6,,,,
7,145Mhz-7,145.515,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-7,,,,
8,145Mhz-8,145.5175,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-8,,,,
9,145Mhz-9,145.52,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-9,,,,
10,145Mhz-10,145.5225,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-10,,,,
11,145Mhz-11,145.525,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-11,,,,
12,145Mhz-12,145.5275,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-12,,,,
13,145Mhz-13,145.53,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-13,,,,
14,145Mhz-14,145.5325,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-14,,,,
15,145Mhz-15,145.535,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-15,,,,
16,145Mhz-16,145.5375,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-16,,,,
17,145Mhz-17,145.54,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-17,,,,
18,145Mhz-18,145.5425,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-18,,,,
19,145Mhz-19,145.545,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-19,,,,
20,145Mhz-20,145.5475,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-20,,,,
21,145Mhz-21,145.55,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,145Mhz-21,,,,
